transaction_date,region,distributor,store,sales_channel,product,category,units_sold,revenue
2024-01-10,Central-West,MidBrasil Supply,Cuiabá Store Center,Pharmacy,Peanut Mix 200g,Snacks,5,38.05
2024-12-12,Central-West,MidBrasil Supply,Goiânia Sales Point,Cash & Carry,Laundry Detergent 1L,Household,40,539.2
2024-03-26,Northeast,Coastal Distribution,Recife Store Hub,Cash & Carry,Cookies Pack 140g,Confectionery,37,264.18
2024-05-21,Southeast,SP Trade Hub,Campinas Retail Hub,Cash & Carry,Cookies Pack 140g,Confectionery,31,219.48
2024-02-18,Southeast,SP Trade Hub,Campinas Retail Hub,Cash & Carry,Cookies Pack 140g,Confectionery,52,328.12
2024-02-02,South,SulMax Distribuidora,Curitiba Retail Point,Cash & Carry,Classic Soda 350ml,Beverages,75,315.0
2024-05-08,Southeast,SP Trade Hub,Rio Market Center,Convenience,Tomato Sauce 340g,Grocery,4,16.36
2024-11-02,North,Norte Supply,Manaus Retail Center,E-commerce,Orange Juice 1L,Beverages,1,7.28
2024-07-02,Central-West,MidBrasil Supply,Brasília Retail Hub,Supermarket,Dish Soap 500ml,Household,30,154.2
2024-08-29,Northeast,Coastal Distribution,Fortaleza Market Center,Convenience,Orange Juice 1L,Beverages,16,121.12
2024-01-15,Northeast,Coastal Distribution,Recife Store Hub,Supermarket,Dish Soap 500ml,Household,29,146.74
2024-07-22,South,Pampa Supply,Porto Alegre Store Hub,Cash & Carry,Classic Soda 350ml,Beverages,68,297.84
2024-03-26,Southeast,SP Trade Hub,Campinas Retail Hub,Convenience,Laundry Detergent 1L,Household,9,110.07
2024-12-06,Southeast,Atlântico Distribuição,Belo Horizonte Outlet,Convenience,Orange Juice 1L,Beverages,12,96.0
2024-04-08,Central-West,MidBrasil Supply,Goiânia Sales Point,Pharmacy,Chocolate Bar 90g,Confectionery,6,30.48
2024-07-20,Southeast,Rio Valley Distribution,Belo Horizonte Outlet,Convenience,Mineral Water 500ml,Beverages,6,16.32
2024-10-10,Southeast,Rio Valley Distribution,São Paulo Prime Store,Pharmacy,Paper Towels 2-roll,Household,9,73.26
2024-05-12,North,Norte Supply,Manaus Retail Center,Cash & Carry,Orange Juice 1L,Beverages,35,286.3
2024-07-05,North,Amazon Distribution,Belém Market Point,E-commerce,Peanut Mix 200g,Snacks,10,88.1
2024-02-08,Southeast,SP Trade Hub,São Paulo Prime Store,Supermarket,Tomato Sauce 340g,Grocery,70,312.9
2024-07-28,Central-West,Cerrado Logistics,Cuiabá Store Center,Cash & Carry,Dish Soap 500ml,Household,66,328.68
2024-06-29,Central-West,MidBrasil Supply,Cuiabá Store Center,Cash & Carry,Pasta 500g,Grocery,75,459.75
2024-11-28,North,Amazon Distribution,Belém Market Point,Cash & Carry,Orange Juice 1L,Beverages,116,856.08
2024-07-17,Southeast,Atlântico Distribuição,São Paulo Prime Store,Pharmacy,Classic Soda 350ml,Beverages,5,21.45
2024-04-19,North,Amazon Distribution,Manaus Retail Center,Supermarket,Tomato Sauce 340g,Grocery,78,312.78
2024-05-05,North,Amazon Distribution,Belém Market Point,Supermarket,Classic Soda 350ml,Beverages,50,224.0
2024-01-16,Southeast,Atlântico Distribuição,Belo Horizonte Outlet,Convenience,Classic Soda 350ml,Beverages,5,22.75
2024-01-30,Central-West,MidBrasil Supply,Goiânia Sales Point,Pharmacy,Paper Towels 2-roll,Household,16,140.32
2024-05-23,Northeast,Coastal Distribution,Recife Store Hub,Cash & Carry,Cookies Pack 140g,Confectionery,41,268.55
2024-05-09,Northeast,Coastal Distribution,Fortaleza Market Center,Cash & Carry,Orange Juice 1L,Beverages,75,575.25
2024-09-27,Central-West,MidBrasil Supply,Brasília Retail Hub,Supermarket,Peanut Mix 200g,Snacks,28,215.88
2024-02-07,North,Norte Supply,Belém Market Point,Supermarket,Paper Towels 2-roll,Household,20,171.8
2024-09-22,South,Pampa Supply,Porto Alegre Store Hub,Cash & Carry,Potato Chips 120g,Snacks,118,822.46
2024-03-17,South,Pampa Supply,Curitiba Retail Point,Convenience,Laundry Detergent 1L,Household,10,120.6
2024-09-10,Southeast,Atlântico Distribuição,Rio Market Center,Supermarket,Orange Juice 1L,Beverages,46,358.8
2024-05-18,Central-West,Cerrado Logistics,Goiânia Sales Point,Cash & Carry,Cookies Pack 140g,Confectionery,89,633.68
2024-05-27,North,Norte Supply,Manaus Retail Center,Convenience,Dish Soap 500ml,Household,6,27.48
2024-11-24,Northeast,Coastal Distribution,Fortaleza Market Center,Cash & Carry,Potato Chips 120g,Snacks,101,634.28
2024-01-07,Southeast,Rio Valley Distribution,Campinas Retail Hub,Cash & Carry,Dish Soap 500ml,Household,78,384.54
2024-12-16,North,Norte Supply,Porto Velho Outlet,Pharmacy,Laundry Detergent 1L,Household,12,148.92
2024-04-26,Southeast,SP Trade Hub,São Paulo Prime Store,E-commerce,Pasta 500g,Grocery,1,5.69
2024-06-05,Central-West,MidBrasil Supply,Cuiabá Store Center,Convenience,Tomato Sauce 340g,Grocery,18,72.54
2024-05-07,Central-West,Cerrado Logistics,Brasília Retail Hub,E-commerce,Tomato Sauce 340g,Grocery,14,61.18
2024-07-03,Southeast,SP Trade Hub,São Paulo Prime Store,Pharmacy,Pasta 500g,Grocery,6,37.32
2024-01-25,Central-West,Cerrado Logistics,Goiânia Sales Point,Pharmacy,Chocolate Bar 90g,Confectionery,10,58.2
2024-02-29,South,SulMax Distribuidora,Porto Alegre Store Hub,Cash & Carry,Orange Juice 1L,Beverages,81,622.08
2024-01-10,Southeast,Rio Valley Distribution,Belo Horizonte Outlet,Convenience,Dish Soap 500ml,Household,22,105.38
2024-11-02,South,SulMax Distribuidora,Porto Alegre Store Hub,Convenience,Classic Soda 350ml,Beverages,14,62.86
2024-05-16,South,SulMax Distribuidora,Florianópolis Market Center,Cash & Carry,Pasta 500g,Grocery,72,440.64
2024-11-06,Southeast,Atlântico Distribuição,São Paulo Prime Store,Pharmacy,Potato Chips 120g,Snacks,7,43.96
2024-06-26,Southeast,Rio Valley Distribution,São Paulo Prime Store,Cash & Carry,Laundry Detergent 1L,Household,49,566.93
2024-11-09,Southeast,SP Trade Hub,Belo Horizonte Outlet,E-commerce,Dish Soap 500ml,Household,1,4.91
2024-02-15,South,SulMax Distribuidora,Porto Alegre Store Hub,E-commerce,Potato Chips 120g,Snacks,4,24.56
2024-03-12,North,Norte Supply,Porto Velho Outlet,Convenience,Laundry Detergent 1L,Household,20,236.0
2024-06-17,Northeast,Nordeste Partners,Recife Store Hub,Cash & Carry,Mineral Water 500ml,Beverages,64,178.56
2024-06-25,Northeast,Coastal Distribution,Recife Store Hub,Supermarket,Pasta 500g,Grocery,64,354.56
2024-02-17,Northeast,Coastal Distribution,Fortaleza Market Center,Cash & Carry,Peanut Mix 200g,Snacks,39,308.49
2024-03-14,Northeast,Coastal Distribution,Fortaleza Market Center,Pharmacy,Potato Chips 120g,Snacks,8,50.48
2024-02-21,Southeast,SP Trade Hub,Belo Horizonte Outlet,Convenience,Mineral Water 500ml,Beverages,24,71.52
2024-01-18,Northeast,Nordeste Partners,Fortaleza Market Center,Convenience,Mineral Water 500ml,Beverages,17,48.28
2024-09-17,Southeast,Atlântico Distribuição,São Paulo Prime Store,Convenience,Dish Soap 500ml,Household,17,77.52
2024-12-05,South,Pampa Supply,Curitiba Retail Point,Convenience,Classic Soda 350ml,Beverages,13,63.18
2024-07-05,Northeast,Coastal Distribution,Recife Store Hub,Cash & Carry,Laundry Detergent 1L,Household,60,772.8
2024-11-06,South,Pampa Supply,Porto Alegre Store Hub,E-commerce,Paper Towels 2-roll,Household,8,68.4
2024-06-27,Northeast,Coastal Distribution,Recife Store Hub,Pharmacy,Laundry Detergent 1L,Household,16,188.8
2024-10-25,South,SulMax Distribuidora,Porto Alegre Store Hub,Cash & Carry,Mineral Water 500ml,Beverages,34,88.74
2024-12-01,Central-West,Cerrado Logistics,Goiânia Sales Point,Cash & Carry,Potato Chips 120g,Snacks,41,247.23
2024-12-12,North,Norte Supply,Belém Market Point,Supermarket,Chocolate Bar 90g,Confectionery,15,76.8
2024-05-27,Central-West,MidBrasil Supply,Cuiabá Store Center,Convenience,Pasta 500g,Grocery,25,153.0
2024-03-05,North,Amazon Distribution,Manaus Retail Center,Supermarket,Paper Towels 2-roll,Household,33,274.56
2024-09-25,Northeast,Nordeste Partners,Fortaleza Market Center,Pharmacy,Potato Chips 120g,Snacks,12,82.8
2024-02-23,Southeast,SP Trade Hub,Rio Market Center,Supermarket,Laundry Detergent 1L,Household,41,510.86
2024-04-15,South,Pampa Supply,Florianópolis Market Center,Pharmacy,Pasta 500g,Grocery,17,102.17
2024-10-10,North,Amazon Distribution,Manaus Retail Center,Pharmacy,Paper Towels 2-roll,Household,7,57.4
2024-08-16,North,Amazon Distribution,Porto Velho Outlet,E-commerce,Potato Chips 120g,Snacks,3,19.11
2024-06-03,South,SulMax Distribuidora,Curitiba Retail Point,Pharmacy,Pasta 500g,Grocery,10,61.0
2024-08-15,South,SulMax Distribuidora,Florianópolis Market Center,Cash & Carry,Potato Chips 120g,Snacks,96,601.92
2024-02-19,Southeast,Rio Valley Distribution,Campinas Retail Hub,E-commerce,Orange Juice 1L,Beverages,8,66.16
2024-07-21,Southeast,SP Trade Hub,Rio Market Center,E-commerce,Peanut Mix 200g,Snacks,6,47.7
2024-09-06,Central-West,MidBrasil Supply,Brasília Retail Hub,Cash & Carry,Tomato Sauce 340g,Grocery,16,61.92
2024-03-07,Northeast,Coastal Distribution,Salvador Retail Point,E-commerce,Pasta 500g,Grocery,7,44.03
2024-01-15,South,SulMax Distribuidora,Florianópolis Market Center,Cash & Carry,Pasta 500g,Grocery,100,595.0
2024-03-10,Northeast,Nordeste Partners,Fortaleza Market Center,Convenience,Classic Soda 350ml,Beverages,20,86.8
2024-09-05,Southeast,Rio Valley Distribution,Campinas Retail Hub,Convenience,Pasta 500g,Grocery,14,78.82
2024-06-13,North,Norte Supply,Belém Market Point,Convenience,Orange Juice 1L,Beverages,10,75.4
2024-08-01,North,Norte Supply,Manaus Retail Center,Pharmacy,Cookies Pack 140g,Confectionery,17,107.44
2024-10-20,Southeast,SP Trade Hub,Campinas Retail Hub,Cash & Carry,Orange Juice 1L,Beverages,115,979.8
2024-06-19,Southeast,Rio Valley Distribution,São Paulo Prime Store,Cash & Carry,Laundry Detergent 1L,Household,58,753.42
2024-02-28,North,Amazon Distribution,Belém Market Point,Supermarket,Paper Towels 2-roll,Household,34,284.24
2024-02-09,North,Amazon Distribution,Belém Market Point,Pharmacy,Laundry Detergent 1L,Household,16,184.32
2024-07-31,Northeast,Coastal Distribution,Fortaleza Market Center,Supermarket,Classic Soda 350ml,Beverages,22,103.84
2024-07-08,South,SulMax Distribuidora,Curitiba Retail Point,Cash & Carry,Peanut Mix 200g,Snacks,81,624.51
2024-05-18,Southeast,SP Trade Hub,São Paulo Prime Store,Pharmacy,Mineral Water 500ml,Beverages,16,48.16
2024-05-18,Central-West,Cerrado Logistics,Brasília Retail Hub,Pharmacy,Pasta 500g,Grocery,17,96.22
2024-03-09,Central-West,MidBrasil Supply,Goiânia Sales Point,Pharmacy,Chocolate Bar 90g,Confectionery,20,110.8
2024-08-13,North,Norte Supply,Porto Velho Outlet,Supermarket,Cookies Pack 140g,Confectionery,25,160.0
2024-09-01,Southeast,SP Trade Hub,São Paulo Prime Store,E-commerce,Chocolate Bar 90g,Confectionery,18,102.06
2024-12-25,South,SulMax Distribuidora,Curitiba Retail Point,Convenience,Paper Towels 2-roll,Household,13,104.26
2024-10-03,South,SulMax Distribuidora,Florianópolis Market Center,E-commerce,Cookies Pack 140g,Confectionery,9,59.04
2024-08-16,Southeast,Atlântico Distribuição,Belo Horizonte Outlet,E-commerce,Orange Juice 1L,Beverages,9,68.76
2024-11-21,Northeast,Nordeste Partners,Salvador Retail Point,Convenience,Classic Soda 350ml,Beverages,14,67.06
2024-01-05,Central-West,MidBrasil Supply,Brasília Retail Hub,Pharmacy,Peanut Mix 200g,Snacks,20,171.6
2024-09-12,North,Amazon Distribution,Porto Velho Outlet,Pharmacy,Dish Soap 500ml,Household,12,59.76
2024-04-24,South,SulMax Distribuidora,Curitiba Retail Point,Cash & Carry,Orange Juice 1L,Beverages,47,392.92
2024-11-18,North,Norte Supply,Manaus Retail Center,Convenience,Paper Towels 2-roll,Household,20,161.6
2024-08-09,Southeast,SP Trade Hub,São Paulo Prime Store,Convenience,Peanut Mix 200g,Snacks,14,111.3
2024-05-30,Central-West,Cerrado Logistics,Goiânia Sales Point,Cash & Carry,Classic Soda 350ml,Beverages,19,79.04
2024-08-24,Southeast,Atlântico Distribuição,Rio Market Center,Convenience,Laundry Detergent 1L,Household,15,188.4
2024-06-28,Northeast,Coastal Distribution,Fortaleza Market Center,E-commerce,Tomato Sauce 340g,Grocery,6,24.66
2024-03-13,North,Norte Supply,Porto Velho Outlet,E-commerce,Laundry Detergent 1L,Household,10,122.9
2024-02-12,Northeast,Coastal Distribution,Salvador Retail Point,Pharmacy,Classic Soda 350ml,Beverages,8,36.16
2024-09-16,Southeast,Rio Valley Distribution,Rio Market Center,Cash & Carry,Orange Juice 1L,Beverages,29,216.92
2024-12-02,North,Norte Supply,Belém Market Point,Supermarket,Dish Soap 500ml,Household,57,259.35
2024-01-12,North,Norte Supply,Porto Velho Outlet,Convenience,Laundry Detergent 1L,Household,12,143.76
2024-05-11,Central-West,Cerrado Logistics,Brasília Retail Hub,Cash & Carry,Tomato Sauce 340g,Grocery,24,102.96
2024-02-21,Central-West,MidBrasil Supply,Brasília Retail Hub,Pharmacy,Potato Chips 120g,Snacks,3,20.1
2024-10-25,Northeast,Nordeste Partners,Fortaleza Market Center,Supermarket,Orange Juice 1L,Beverages,68,529.04
2024-02-21,North,Amazon Distribution,Belém Market Point,Convenience,Cookies Pack 140g,Confectionery,16,108.96
2024-05-24,Central-West,MidBrasil Supply,Brasília Retail Hub,E-commerce,Cookies Pack 140g,Confectionery,12,84.96
2024-12-06,South,SulMax Distribuidora,Porto Alegre Store Hub,Convenience,Orange Juice 1L,Beverages,20,151.2
2024-11-19,South,SulMax Distribuidora,Curitiba Retail Point,Supermarket,Tomato Sauce 340g,Grocery,26,105.3
2024-03-21,Central-West,MidBrasil Supply,Cuiabá Store Center,E-commerce,Paper Towels 2-roll,Household,15,135.75
2024-09-28,Central-West,Cerrado Logistics,Cuiabá Store Center,Convenience,Peanut Mix 200g,Snacks,21,185.85
2024-06-22,North,Amazon Distribution,Porto Velho Outlet,Convenience,Cookies Pack 140g,Confectionery,20,130.6
2024-09-14,Southeast,SP Trade Hub,Campinas Retail Hub,Convenience,Pasta 500g,Grocery,18,107.28
2024-11-22,Southeast,SP Trade Hub,Belo Horizonte Outlet,Pharmacy,Dish Soap 500ml,Household,17,82.28
2024-01-24,Central-West,MidBrasil Supply,Goiânia Sales Point,Pharmacy,Pasta 500g,Grocery,12,67.92
2024-10-02,Northeast,Coastal Distribution,Recife Store Hub,E-commerce,Orange Juice 1L,Beverages,15,111.3
2024-08-22,Northeast,Coastal Distribution,Salvador Retail Point,Pharmacy,Cookies Pack 140g,Confectionery,15,100.8
2024-11-03,Southeast,SP Trade Hub,São Paulo Prime Store,E-commerce,Orange Juice 1L,Beverages,7,58.8
2024-10-22,Northeast,Coastal Distribution,Salvador Retail Point,Supermarket,Chocolate Bar 90g,Confectionery,36,182.52
2024-06-30,Southeast,Rio Valley Distribution,Belo Horizonte Outlet,Cash & Carry,Pasta 500g,Grocery,68,417.52
2024-07-10,Southeast,Atlântico Distribuição,São Paulo Prime Store,Cash & Carry,Dish Soap 500ml,Household,98,475.3
2024-06-04,Northeast,Coastal Distribution,Salvador Retail Point,Cash & Carry,Dish Soap 500ml,Household,50,256.0
2024-06-30,Southeast,Atlântico Distribuição,São Paulo Prime Store,Convenience,Classic Soda 350ml,Beverages,17,80.75
2024-01-10,Southeast,SP Trade Hub,Campinas Retail Hub,Convenience,Paper Towels 2-roll,Household,25,203.0
2024-01-19,Central-West,MidBrasil Supply,Brasília Retail Hub,E-commerce,Peanut Mix 200g,Snacks,18,143.28
2024-04-20,Central-West,Cerrado Logistics,Brasília Retail Hub,Pharmacy,Dish Soap 500ml,Household,17,80.07
2024-06-21,Central-West,MidBrasil Supply,Brasília Retail Hub,Convenience,Paper Towels 2-roll,Household,25,223.5
2024-06-22,Southeast,Atlântico Distribuição,Belo Horizonte Outlet,Supermarket,Potato Chips 120g,Snacks,44,307.56
2024-04-20,North,Norte Supply,Manaus Retail Center,E-commerce,Chocolate Bar 90g,Confectionery,1,5.56
2024-09-27,Northeast,Coastal Distribution,Fortaleza Market Center,Pharmacy,Mineral Water 500ml,Beverages,6,16.74
2024-09-11,South,Pampa Supply,Florianópolis Market Center,E-commerce,Pasta 500g,Grocery,2,12.64
2024-01-12,South,Pampa Supply,Curitiba Retail Point,Pharmacy,Cookies Pack 140g,Confectionery,9,60.3
2024-08-10,Southeast,Rio Valley Distribution,São Paulo Prime Store,Supermarket,Tomato Sauce 340g,Grocery,49,197.96
2024-01-29,Northeast,Coastal Distribution,Recife Store Hub,Convenience,Classic Soda 350ml,Beverages,18,82.26
2024-09-01,Southeast,SP Trade Hub,Belo Horizonte Outlet,Convenience,Potato Chips 120g,Snacks,18,124.02
2024-09-08,Southeast,Rio Valley Distribution,Rio Market Center,Supermarket,Peanut Mix 200g,Snacks,23,186.3
2024-04-08,Central-West,Cerrado Logistics,Cuiabá Store Center,Cash & Carry,Cookies Pack 140g,Confectionery,102,685.44
2024-06-24,Central-West,Cerrado Logistics,Cuiabá Store Center,Pharmacy,Mineral Water 500ml,Beverages,7,19.11
2024-08-06,North,Norte Supply,Porto Velho Outlet,Cash & Carry,Chocolate Bar 90g,Confectionery,93,500.34
2024-04-16,North,Norte Supply,Porto Velho Outlet,E-commerce,Mineral Water 500ml,Beverages,2,5.58
2024-04-20,North,Amazon Distribution,Porto Velho Outlet,Cash & Carry,Potato Chips 120g,Snacks,111,761.46
2024-06-02,Central-West,Cerrado Logistics,Goiânia Sales Point,Supermarket,Tomato Sauce 340g,Grocery,39,155.22
2024-05-24,Southeast,Rio Valley Distribution,Campinas Retail Hub,Convenience,Laundry Detergent 1L,Household,6,75.6
2024-06-29,North,Norte Supply,Porto Velho Outlet,E-commerce,Dish Soap 500ml,Household,4,18.4
2024-05-06,Northeast,Coastal Distribution,Salvador Retail Point,Convenience,Classic Soda 350ml,Beverages,5,24.25
2024-02-18,South,SulMax Distribuidora,Florianópolis Market Center,Pharmacy,Laundry Detergent 1L,Household,10,123.7
2024-03-15,Central-West,MidBrasil Supply,Goiânia Sales Point,Cash & Carry,Dish Soap 500ml,Household,18,92.52
2024-08-09,Northeast,Nordeste Partners,Salvador Retail Point,E-commerce,Cookies Pack 140g,Confectionery,14,97.44
2024-04-06,Central-West,Cerrado Logistics,Goiânia Sales Point,E-commerce,Peanut Mix 200g,Snacks,18,151.74
2024-09-13,Southeast,Atlântico Distribuição,Rio Market Center,Supermarket,Pasta 500g,Grocery,48,277.92
2024-11-17,Southeast,Rio Valley Distribution,Belo Horizonte Outlet,Supermarket,Peanut Mix 200g,Snacks,80,669.6
2024-04-01,Central-West,Cerrado Logistics,Cuiabá Store Center,Supermarket,Classic Soda 350ml,Beverages,67,300.16
2024-02-08,Northeast,Nordeste Partners,Salvador Retail Point,E-commerce,Potato Chips 120g,Snacks,13,79.82
2024-08-05,North,Norte Supply,Belém Market Point,Supermarket,Mineral Water 500ml,Beverages,66,188.1
2024-12-25,Northeast,Coastal Distribution,Fortaleza Market Center,Convenience,Dish Soap 500ml,Household,19,89.3
2024-08-24,Southeast,SP Trade Hub,Belo Horizonte Outlet,E-commerce,Paper Towels 2-roll,Household,16,141.12
2024-09-26,Northeast,Coastal Distribution,Fortaleza Market Center,Cash & Carry,Mineral Water 500ml,Beverages,70,193.9
2024-10-02,South,Pampa Supply,Porto Alegre Store Hub,Convenience,Tomato Sauce 340g,Grocery,15,67.2
2024-07-13,North,Amazon Distribution,Belém Market Point,Cash & Carry,Tomato Sauce 340g,Grocery,105,467.25
2024-04-03,Northeast,Coastal Distribution,Fortaleza Market Center,Pharmacy,Chocolate Bar 90g,Confectionery,11,55.55
2024-09-20,Central-West,MidBrasil Supply,Goiânia Sales Point,Cash & Carry,Dish Soap 500ml,Household,21,97.02
2024-01-05,Central-West,Cerrado Logistics,Brasília Retail Hub,Cash & Carry,Paper Towels 2-roll,Household,73,666.49
2024-05-07,South,SulMax Distribuidora,Curitiba Retail Point,E-commerce,Peanut Mix 200g,Snacks,8,65.12
2024-02-21,Northeast,Coastal Distribution,Salvador Retail Point,Pharmacy,Pasta 500g,Grocery,11,66.11
2024-10-25,Northeast,Coastal Distribution,Salvador Retail Point,Cash & Carry,Orange Juice 1L,Beverages,41,317.34
2024-06-14,North,Amazon Distribution,Manaus Retail Center,Cash & Carry,Paper Towels 2-roll,Household,80,673.6
2024-09-01,Southeast,Atlântico Distribuição,Campinas Retail Hub,Cash & Carry,Potato Chips 120g,Snacks,22,147.4
2024-02-17,North,Norte Supply,Belém Market Point,E-commerce,Potato Chips 120g,Snacks,15,95.25
2024-02-23,North,Norte Supply,Manaus Retail Center,Cash & Carry,Mineral Water 500ml,Beverages,105,313.95
2024-10-31,Southeast,SP Trade Hub,Belo Horizonte Outlet,Supermarket,Potato Chips 120g,Snacks,71,484.22
2024-05-28,North,Amazon Distribution,Manaus Retail Center,Cash & Carry,Dish Soap 500ml,Household,87,403.68
2024-03-22,Northeast,Nordeste Partners,Fortaleza Market Center,E-commerce,Mineral Water 500ml,Beverages,9,23.22
2024-07-14,North,Norte Supply,Manaus Retail Center,Supermarket,Pasta 500g,Grocery,52,295.36
2024-11-28,South,Pampa Supply,Porto Alegre Store Hub,Cash & Carry,Mineral Water 500ml,Beverages,55,162.8
2024-01-22,Central-West,Cerrado Logistics,Brasília Retail Hub,E-commerce,Paper Towels 2-roll,Household,9,82.44
2024-06-04,North,Amazon Distribution,Porto Velho Outlet,Cash & Carry,Classic Soda 350ml,Beverages,58,242.44
2024-06-16,Central-West,Cerrado Logistics,Goiânia Sales Point,Cash & Carry,Laundry Detergent 1L,Household,93,1248.99
2024-11-03,Southeast,SP Trade Hub,Campinas Retail Hub,Pharmacy,Cookies Pack 140g,Confectionery,8,57.04
2024-08-01,Central-West,MidBrasil Supply,Brasília Retail Hub,E-commerce,Cookies Pack 140g,Confectionery,2,14.36
2024-08-29,Central-West,MidBrasil Supply,Brasília Retail Hub,Supermarket,Chocolate Bar 90g,Confectionery,54,268.92
2024-05-13,Central-West,Cerrado Logistics,Goiânia Sales Point,Convenience,Cookies Pack 140g,Confectionery,4,26.72
2024-05-12,Central-West,MidBrasil Supply,Goiânia Sales Point,Pharmacy,Chocolate Bar 90g,Confectionery,5,28.05
2024-06-02,Northeast,Coastal Distribution,Salvador Retail Point,Cash & Carry,Orange Juice 1L,Beverages,86,685.42
2024-01-11,North,Norte Supply,Manaus Retail Center,Convenience,Pasta 500g,Grocery,5,29.8
2024-03-28,Central-West,MidBrasil Supply,Brasília Retail Hub,Cash & Carry,Pasta 500g,Grocery,66,388.74
2024-05-18,South,Pampa Supply,Porto Alegre Store Hub,Cash & Carry,Peanut Mix 200g,Snacks,108,855.36
2024-05-13,Central-West,MidBrasil Supply,Cuiabá Store Center,Supermarket,Laundry Detergent 1L,Household,28,364.0
2024-02-01,Southeast,Rio Valley Distribution,São Paulo Prime Store,E-commerce,Pasta 500g,Grocery,12,74.76
2024-12-08,North,Norte Supply,Manaus Retail Center,Supermarket,Tomato Sauce 340g,Grocery,75,323.25
2024-08-15,Northeast,Coastal Distribution,Fortaleza Market Center,Convenience,Laundry Detergent 1L,Household,4,48.36
2024-09-15,Central-West,Cerrado Logistics,Brasília Retail Hub,E-commerce,Dish Soap 500ml,Household,4,18.96
2024-08-12,North,Norte Supply,Belém Market Point,E-commerce,Orange Juice 1L,Beverages,1,7.32
2024-07-03,South,SulMax Distribuidora,Porto Alegre Store Hub,Supermarket,Cookies Pack 140g,Confectionery,70,449.4
2024-02-23,Northeast,Coastal Distribution,Salvador Retail Point,Pharmacy,Paper Towels 2-roll,Household,3,25.32
2024-01-15,North,Norte Supply,Manaus Retail Center,Convenience,Classic Soda 350ml,Beverages,18,80.1
2024-10-01,North,Norte Supply,Belém Market Point,Cash & Carry,Paper Towels 2-roll,Household,15,120.15
2024-05-25,Southeast,Atlântico Distribuição,Rio Market Center,Supermarket,Pasta 500g,Grocery,57,328.89
2024-01-24,Southeast,SP Trade Hub,Belo Horizonte Outlet,Pharmacy,Tomato Sauce 340g,Grocery,15,62.25
2024-10-10,Northeast,Nordeste Partners,Fortaleza Market Center,Supermarket,Mineral Water 500ml,Beverages,39,105.69
2024-10-30,North,Norte Supply,Manaus Retail Center,Cash & Carry,Dish Soap 500ml,Household,116,537.08
2024-07-05,Central-West,Cerrado Logistics,Brasília Retail Hub,Supermarket,Paper Towels 2-roll,Household,72,630.0
2024-01-28,Northeast,Coastal Distribution,Salvador Retail Point,Convenience,Paper Towels 2-roll,Household,19,170.05
2024-10-30,North,Amazon Distribution,Porto Velho Outlet,Cash & Carry,Chocolate Bar 90g,Confectionery,89,504.63
2024-09-30,Central-West,MidBrasil Supply,Cuiabá Store Center,Pharmacy,Laundry Detergent 1L,Household,19,219.64
2024-02-01,Northeast,Nordeste Partners,Salvador Retail Point,Pharmacy,Mineral Water 500ml,Beverages,19,50.73
2024-03-17,North,Amazon Distribution,Porto Velho Outlet,E-commerce,Classic Soda 350ml,Beverages,12,53.88
2024-01-25,North,Amazon Distribution,Belém Market Point,Supermarket,Paper Towels 2-roll,Household,60,540.0
2024-11-12,Southeast,SP Trade Hub,Campinas Retail Hub,Convenience,Chocolate Bar 90g,Confectionery,14,80.22
2024-08-12,South,SulMax Distribuidora,Porto Alegre Store Hub,Cash & Carry,Cookies Pack 140g,Confectionery,63,446.04
2024-07-26,Southeast,Rio Valley Distribution,Belo Horizonte Outlet,Supermarket,Laundry Detergent 1L,Household,54,679.32
2024-03-08,Southeast,Rio Valley Distribution,Campinas Retail Hub,Pharmacy,Classic Soda 350ml,Beverages,13,56.16
2024-02-01,Southeast,Rio Valley Distribution,Belo Horizonte Outlet,Supermarket,Mineral Water 500ml,Beverages,28,74.48
2024-07-17,Central-West,MidBrasil Supply,Goiânia Sales Point,E-commerce,Classic Soda 350ml,Beverages,9,37.35
2024-10-13,Southeast,Rio Valley Distribution,Belo Horizonte Outlet,Supermarket,Dish Soap 500ml,Household,73,381.06
2024-01-29,South,SulMax Distribuidora,Florianópolis Market Center,Convenience,Orange Juice 1L,Beverages,4,32.32
2024-09-20,Southeast,Atlântico Distribuição,Rio Market Center,E-commerce,Peanut Mix 200g,Snacks,10,88.5
2024-08-08,Northeast,Nordeste Partners,Recife Store Hub,Cash & Carry,Peanut Mix 200g,Snacks,22,172.48
2024-12-22,Central-West,MidBrasil Supply,Goiânia Sales Point,E-commerce,Laundry Detergent 1L,Household,16,212.48
2024-11-15,Southeast,Atlântico Distribuição,Campinas Retail Hub,Pharmacy,Chocolate Bar 90g,Confectionery,2,10.42
2024-10-10,Southeast,Rio Valley Distribution,São Paulo Prime Store,Convenience,Paper Towels 2-roll,Household,10,80.8
2024-09-28,Southeast,SP Trade Hub,Campinas Retail Hub,Pharmacy,Dish Soap 500ml,Household,20,90.6
2024-04-06,Southeast,Atlântico Distribuição,Rio Market Center,Convenience,Orange Juice 1L,Beverages,3,24.39
2024-11-15,North,Norte Supply,Porto Velho Outlet,Cash & Carry,Orange Juice 1L,Beverages,84,708.96
2024-04-17,Central-West,MidBrasil Supply,Brasília Retail Hub,Convenience,Tomato Sauce 340g,Grocery,20,84.2
